[28/Aug/2021 01:17:40] INFO [django.utils.autoreload:637] Watching for file changes with StatReloader
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:315] Waiting for apps ready_event.
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:327] Apps ready_event triggered. Sending autoreload_started signal.
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:281] Watching dir /Users/charlotteakrashie/djangopro/todoDjango/todo_list/templates with glob **/*.
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:281] Watching dir /Users/charlotteakrashie/djangopro/todoDjango/locale with glob **/*.mo.
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:281] Watching dir /Users/charlotteakrashie/djangopro/todoDjango/todo_list/locale with glob **/*.mo.
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/migrations/exceptions.py first seen with mtime 1630105312.533058
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/mime/text.py first seen with mtime 1595261513.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/views/defaults.py first seen with mtime 1630105312.625267
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/migrations/graph.py first seen with mtime 1630105312.534053
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_hashlib.cpython-38-darwin.so first seen with mtime 1595261769.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1630105309.271018
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/utils/topological_sort.py first seen with mtime 1630105312.621242
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/db/models/utils.py first seen with mtime 1630105312.550004
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/headerregistry.py first seen with mtime 1595261513.0
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/middleware/cache.py first seen with mtime 1630105312.589041
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/core/signing.py first seen with mtime 1630105312.47502
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/urls/base.py first seen with mtime 1630105312.606435
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Users/charlotteakrashie/djangopro/django/lib/python3.8/site-packages/django/core/exceptions.py first seen with mtime 1630105312.474071
[28/Aug/2021 01:17:40] DEBUG [django.utils.autoreload:379] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/argparse.py first seen with mtime 1595261510.0
